"X","Long","Lat"
"Northwich",-2.518,53.257
"Norton",-0.8,54.123
"Oakham",-0.737,52.677
"Okehampton",-4.007,50.742
"Oswestry",-3.048,52.858
"Penrith",-2.753,54.667
"Peterborough",-0.237,52.58
"Petersfield",-0.938,51.005
"Pickering",-0.78,54.25
"Preston",-2.707,53.76
"Rotherham",-1.347,53.427
"Rugby",-1.258,52.375
"Runcorn",-2.713,53.328
"S.Molton",-3.833,51.013
"Saffron.Walden",0.252,52.023
"Scarborough",-0.412,54.282
"Selby",-1.067,53.785
"Sevenoaks",0.187,51.278
"Shaftesbury",-2.193,51.002
"Shepton.Mallet",-2.552,51.188
"Sherborne",-2.52,50.947
"Skipton",-2.023,53.958
"Spalding",-0.155,52.785
"St.Albans",-0.327,51.753
"St.Austell",-4.777,50.338
"St.Neots",-0.265,52.23
"Stafford",-2.112,52.808
"Stone",-2.142,52.907
"Stratford.upon.Avon",-1.715,52.197
"Stroud",-2.225,51.747
"Sunderland",-1.385,54.91
"Swaffham",0.683,52.652
"Taunton",-3.092,51.013
"Tavistock",-4.14,50.55
"Tenterden",0.69,51.07
"Tiverton",-3.487,50.902
"Tonbridge",0.282,51.195
"Totnes",-3.683,50.432
"Truro",-5.052,50.26
"Uttoxeter",-1.86,52.898
"Wakefield",-1.493,53.68
"Wallingford",-1.127,51.6
"Wantage",-1.417,51.585
"Ware",-0.02,51.812
"Warrington",-2.595,53.392
"Warwick",-1.583,52.287
"Watford",-0.403,51.665
"Wellingborough",-0.688,52.298
"Wellington",-2.527,52.7
"Wellington.1",-2.527,52.7
"Wells",-2.652,51.207
"Wem",-2.722,52.86
"Whitby",-0.62,54.482
"Wigan",-2.627,53.543
"Winchester",-1.308,51.062
"Wisbech",0.165,52.663
"Witney",-1.487,51.782
"Wokingham",-0.843,51.41
"Worksop",-1.123,53.308
"Worthing",-0.39,50.82
"Yeovil",-2.633,50.945
"Abergavenny",-3.023,51.823
"Aberystwyth",-4.082,52.413
"Brecknock",-3.39,51.947
"Cardiff",-3.175,51.482
"Carmarthen",-4.303,51.86
"Chepstow",-2.673,51.638
"Cowbridge",-3.447,51.46
"Dolgellau",-3.89,52.74
"Haverfordwest",-4.967,51.8
"Hay",-3.132,52.075
"Holywell",-3.223,53.27
"Knighton",-3.05,52.345
"Llandeilo",-3.998,51.883
"Llanelli",-4.163,51.683
"Llanfyllin",-3.268,52.765
"Machynlleth",-3.853,52.587
"Monmouth",-2.718,51.808
"Narberth",-4.748,51.797
"Neath",-3.815,51.662
"Newcastle.Emlyn",-4.472,52.037
"Pembroke",-4.915,51.675
"Pontypool",-3.035,51.698
"Ruthin",-3.308,53.117
"Wrexham",-2.993,53.047
