"","trend","dpopdt","pop","seas_1","seas_2","seas_3","seas_4","seas_5","seas_6"
"V24",-24.8500000000001,19626.7628286118,2425169.495542,0.233002666666329,0.65313066666679,0.113578666666885,0,0,0.00028799999999594
"V25",-24.8400000000001,19627.1735534093,2425365.76520745,0.198358666666384,0.663174666666725,0.138430666666892,0,0,3.59999999990831e-05
"V26",-24.8300000000002,19627.6040209015,2425562.03907887,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514e-38,0,0
"V27",-24.8200000000002,19628.0542310884,2425758.31735368,0.13843066666649,0.663174666666621,0.198358666666889,3.60000000007204e-05,0,0
"V28",-24.8100000000002,19628.52418397,2425954.6002293,0.113578666666533,0.653130666666591,0.233002666666873,0.000288000000002489,0,0
"V29",-24.8000000000002,19629.0138795464,2426150.88790317,0.0918946666665688,0.637182666666576,0.26995066666685,0.000972000000004716,0,0
"V30",-24.7900000000002,19629.5233178175,2426347.1805727,0.0731626666665983,0.615978666666573,0.308554666666821,0.00230400000000681,0,0
"V31",-24.7800000000002,19630.0524987834,2426543.47843533,0.0571666666666221,0.590166666666582,0.348166666666788,0.00450000000000819,0,0
"V32",-24.7700000000002,19630.601422444,2426739.78168849,0.0436906666666406,0.5603946666666,0.388138666666751,0.00777600000000825,0,0
"V33",-24.7600000000002,19631.1700887993,2426936.09052959,0.0325186666666544,0.527310666666625,0.427822666666714,0.0123480000000064,0,0
"V34",-24.7500000000002,19631.7584978494,2427132.40515607,0.0234346666666642,0.491562666666655,0.466570666666678,0.0184320000000021,0,0
"V35",-24.7400000000002,19632.3666495942,2427328.72576536,0.0162226666666705,0.45379866666669,0.503734666666645,0.0262439999999947,0,0
"V36",-24.7300000000002,19632.9945440337,2427525.05255487,0.0106666666666739,0.414666666666727,0.538666666666616,0.0359999999999836,0,0
"V37",-24.7200000000003,19633.642181168,2427721.38572205,0.00655066666667507,0.374814666666764,0.570718666666593,0.0479159999999683,0,0
"V38",-24.7100000000003,19634.309560997,2427917.7254643,0.00365866666667451,0.334890666666799,0.599242666666578,0.0622079999999482,0,0
"V39",-24.7,19634.9966835207,2428114.07197908,0.00177466666663981,0.295542666665948,0.623590666667074,0.0790920000003375,0,0
"V40",-24.6900000000001,19635.7035487392,2428310.42546379,0.000682666666653161,0.257418666666011,0.643114666666964,0.0987840000003722,0,0
"V41",-24.6800000000001,19636.4301566524,2428506.78611586,0.000166666666661664,0.221166666666081,0.657166666666852,0.121500000000405,0,0
"V42",-24.6700000000001,19637.1765072603,2428703.15413273,1.06666666659099e-05,0.187434666666158,0.66509866666674,0.147456000000436,0,0
"V43",-24.6600000000001,19637.942600563,2428899.52971182,0,0.156865333332905,0.666270666666631,0.17686266666713,1.33333333351162e-06,0
"V44",-24.6500000000001,19638.7284365604,2429095.91305055,0,0.129781333332979,0.660522666666541,0.209610666667144,8.53333333360112e-05,0
"V45",-24.6400000000001,19639.5340152526,2429292.30434636,0,0.106009333333044,0.64843866666647,0.245094666667144,0.000457333333341,0
"V46",-24.6300000000001,19640.3593366395,2429488.70379666,0,0.0853333333331005,0.630666666666419,0.282666666667132,0.00133333333334789,0
"V47",-24.6200000000001,19641.2044007211,2429685.1115989,0,0.067537333333149,0.607854666666385,0.32167866666711,0.00292933333335609,0
"V48",-24.6100000000001,19642.0692074974,2429881.52795049,0,0.0524053333331903,0.580650666666366,0.361482666667079,0.005461333333365,0
"V49",-24.6000000000001,19642.9537569685,2430077.95304886,0,0.0397213333332249,0.54970266666636,0.401430666667041,0.00914533333337406,0
"V50",-24.5900000000001,19643.8580491343,2430274.38709143,0,0.0292693333332535,0.515658666666366,0.440874666666997,0.0141973333333826,0
"V51",-24.5800000000002,19644.7820839949,2430470.83027565,0,0.0208333333332765,0.479166666666382,0.479166666666951,0.0208333333333902,0
"V52",-24.5700000000002,19645.7258615502,2430667.28279892,0,0.0141973333332946,0.440874666666407,0.515658666666903,0.0292693333333961,0
"V53",-24.5600000000002,19646.6893818002,2430863.74485869,0,0.00914533333330838,0.401430666666437,0.549702666666855,0.0397213333333998,0
"V54",-24.5500000000002,19647.6726447449,2431060.21665237,0,0.00546133333331843,0.361482666666473,0.580650666666808,0.0524053333334006,0
"V55",-24.5400000000002,19648.6756503844,2431256.69837739,0,0.00292933333332534,0.321678666666511,0.607854666666766,0.0675373333333981,0
"V56",-24.5300000000002,19649.6983987187,2431453.19023118,0,0.0013333333333297,0.28266666666655,0.630666666666728,0.0853333333333916,0
"V57",-24.5200000000002,19650.7408897476,2431649.69241117,0,0.000457333333332085,0.245094666666589,0.648438666666699,0.10600933333338,0
"V58",-24.5100000000002,19651.8031234713,2431846.20511479,0,8.53333333331005e-05,0.209610666666625,0.660522666666678,0.129781333333364,0
"V59",-24.5000000000002,19652.8850998897,2432042.72853945,0,1.33333333332969e-06,0.176862666666657,0.666270666666667,0.156865333333342,0
"V60",-24.4900000000002,19653.9868190029,2432239.26288259,0,0,0.147456000000017,0.66509866666667,0.187434666666647,1.06666666666376e-05
"V61",-24.4800000000002,19655.1082808108,2432435.80834164,0,0,0.121500000000037,0.657166666666684,0.221166666666614,0.000166666666666212
"V62",-24.4700000000003,19656.2494853134,2432632.36511402,0,0,0.0987840000000513,0.643114666666708,0.257418666666576,0.000682666666664804
"V63",-24.4600000000003,19657.4104325108,2432828.93339715,0,0,0.0790920000000608,0.62359066666674,0.295542666666537,0.00177466666666183
"V64",-24.45,19658.5911224029,2433025.51338848,0,0,0.0622079999997123,0.599242666666176,0.334890666667402,0.00365866666671016
"V65",-24.4400000000001,19659.7915549898,2433222.10528542,0,0,0.0479159999997702,0.570718666666132,0.37481466666737,0.00655066666672765
"V66",-24.4300000000001,19661.0117302714,2433418.70928539,0,0,0.0359999999998199,0.538666666666106,0.414666666667327,0.0106666666667467
"V67",-24.4200000000001,19662.2516482477,2433615.32558583,0,0,0.0262439999998621,0.503734666666097,0.453798666667275,0.0162226666667667
"V68",-24.4100000000001,19663.5113089187,2433811.95438416,0,0,0.0184319999998973,0.466570666666101,0.491562666667214,0.0234346666667872
"V69",-24.4000000000001,19664.7907122845,2434008.59587782,0,0,0.0123479999999262,0.427822666666118,0.527310666667148,0.0325186666668074
"V70",-24.3900000000001,19666.089858345,2434205.25026422,0,0,0.0077759999999493,0.388138666666146,0.560394666667078,0.0436906666668269
"V71",-24.3800000000001,19667.4087471003,2434401.91774079,0,0,0.00449999999996725,0.348166666666183,0.590166666667005,0.057166666666845
"V72",-24.3700000000001,19668.7473785502,2434598.59850497,0,0,0.00230399999998061,0.308554666666227,0.615978666666932,0.0731626666668611
"V73",-24.3600000000001,19670.105752695,2434795.29275417,0,0,0.000971999999989978,0.269950666666276,0.637182666666859,0.0918946666668746
"V74",-24.3500000000001,19671.4838695344,2434992.00068583,0,0,0.000287999999995938,0.233002666666329,0.65313066666679,0.113578666666885
"V75",-24.3400000000001,19672.8817290686,2435188.72249737,0,0,3.59999999990828e-05,0.198358666666384,0.663174666666725,0.138430666666892
"V76",-24.3300000000002,19674.2993312975,2435385.45838622,1.56962280972157e-38,0,0,0.166666666666439,0.666666666666667,0.166666666666894
"V77",-24.3200000000002,19675.7366762212,2435582.20854981,3.60000000007207e-05,0,0,0.13843066666649,0.663174666666621,0.198358666666889
"V78",-24.3100000000002,19677.1937638396,2435778.97318555,0.00028800000000249,0,0,0.113578666666533,0.653130666666591,0.233002666666874
"V79",-24.3000000000002,19678.6705941527,2435975.75249089,0.000972000000004719,0,0,0.0918946666665687,0.637182666666576,0.269950666666851
"V80",-24.2900000000002,19680.1671671605,2436172.54666325,0.00230400000000682,0,0,0.0731626666665983,0.615978666666574,0.308554666666821
"V81",-24.2800000000002,19681.6834828631,2436369.35590004,0.0045000000000082,0,0,0.057166666666622,0.590166666666582,0.348166666666788
"V82",-24.2700000000002,19683.2195412605,2436566.18039871,0.00777600000000827,0,0,0.0436906666666405,0.5603946666666,0.388138666666752
"V83",-24.2600000000002,19684.7753423525,2436763.02035668,0.0123480000000064,0,0,0.0325186666666544,0.527310666666625,0.427822666666714
"V84",-24.2500000000002,19686.3508861393,2436959.87597137,0.0184320000000021,0,0,0.0234346666666642,0.491562666666655,0.466570666666678
"V85",-24.2400000000002,19687.9461726209,2437156.74744021,0.0262439999999947,0,0,0.0162226666666705,0.45379866666669,0.503734666666645
"V86",-24.2300000000002,19689.5612017971,2437353.63496063,0.0359999999999837,0,0,0.0106666666666739,0.414666666666727,0.538666666666616
"V87",-24.2200000000003,19691.1959736681,2437550.53873005,0.0479159999999684,0,0,0.00655066666667506,0.374814666666764,0.570718666666593
"V88",-24.2100000000003,19692.8504882339,2437747.45894591,0.0622079999999482,0,0,0.0036586666666745,0.334890666666799,0.599242666666578
"V89",-24.2,19694.5247454944,2437944.39580563,0.0790920000003376,0,0,0.00177466666663981,0.295542666665948,0.623590666667074
"V90",-24.1900000000001,19696.2187454496,2438141.34950663,0.0987840000003723,0,0,0.000682666666653157,0.257418666666011,0.643114666666964
"V91",-24.1800000000001,19697.9324880995,2438338.32024635,0.121500000000405,0,0,0.000166666666661662,0.221166666666081,0.657166666666852
"V92",-24.1700000000001,19699.6659734442,2438535.3082222,0.147456000000436,0,0,1.06666666659096e-05,0.187434666666158,0.66509866666674
"V93",-24.1600000000001,19701.4192014836,2438732.31363163,0.17686266666713,1.33333333351168e-06,0,0,0.156865333332905,0.666270666666631
"V94",-24.1500000000001,19703.1921722178,2438929.33667204,0.209610666667144,8.53333333360123e-05,0,0,0.129781333332979,0.660522666666541
"V95",-24.1400000000001,19704.9848856467,2439126.37754088,0.245094666667145,0.000457333333341003,0,0,0.106009333333044,0.64843866666647
"V96",-24.1300000000001,19706.7973417703,2439323.43643556,0.282666666667133,0.00133333333334789,0,0,0.0853333333331005,0.630666666666419
"V97",-24.1200000000001,19708.6295405886,2439520.51355352,0.32167866666711,0.0029293333333561,0,0,0.067537333333149,0.607854666666385
"V98",-24.1100000000001,19710.4814821017,2439717.60909218,0.361482666667079,0.00546133333336502,0,0,0.0524053333331903,0.580650666666366
"V99",-24.1000000000001,19712.3531663095,2439914.72324897,0.401430666667041,0.00914533333337408,0,0,0.0397213333332249,0.54970266666636
"V100",-24.0900000000001,19714.2445932121,2440111.85622132,0.440874666666998,0.0141973333333827,0,0,0.0292693333332535,0.515658666666366
"V101",-24.0800000000002,19716.1557628094,2440309.00820665,0.479166666666951,0.0208333333333902,0,0,0.0208333333332765,0.479166666666382
"V102",-24.0700000000002,19718.0866751014,2440506.17940238,0.515658666666903,0.0292693333333961,0,0,0.0141973333332946,0.440874666666406
"V103",-24.0600000000002,19720.0373300882,2440703.37000596,0.549702666666855,0.0397213333333998,0,0,0.00914533333330838,0.401430666666437
"V104",-24.0500000000002,19722.0077277697,2440900.58021479,0.580650666666808,0.0524053333334007,0,0,0.00546133333331843,0.361482666666472
"V105",-24.0400000000002,19723.9978681459,2441097.81022632,0.607854666666766,0.0675373333333982,0,0,0.00292933333332534,0.321678666666511
"V106",-24.0300000000002,19726.0077512169,2441295.06023797,0.630666666666729,0.0853333333333917,0,0,0.00133333333332969,0.28266666666655
"V107",-24.0200000000002,19728.0373769826,2441492.33044715,0.648438666666699,0.106009333333381,0,0,0.000457333333332085,0.245094666666589
"V108",-24.0100000000002,19730.086745443,2441689.62105131,0.660522666666678,0.129781333333364,0,0,8.53333333331005e-05,0.209610666666625
"V109",-24.0000000000002,19732.1558565982,2441886.93224787,0.666270666666667,0.156865333333342,0,0,1.33333333332969e-06,0.176862666666657
"V110",-23.9900000000002,19734.2447104481,2442084.26423425,0.665098666666669,0.187434666666647,1.06666666666376e-05,0,0,0.147456000000017
"V111",-23.9800000000002,19736.3533069927,2442281.61720789,0.657166666666683,0.221166666666613,0.000166666666666212,0,0,0.121500000000037
"V112",-23.9700000000003,19738.4816462321,2442478.9913662,0.643114666666708,0.257418666666576,0.000682666666664804,0,0,0.0987840000000513
"V113",-23.9600000000003,19740.6297281662,2442676.38690662,0.62359066666674,0.295542666666537,0.00177466666666182,0,0,0.0790920000000609
"V114",-23.95,19742.7975527951,2442873.80402658,0.599242666666176,0.334890666667402,0.00365866666671016,0,0,0.0622079999997124
"V115",-23.9400000000001,19744.9851201187,2443071.24292349,0.570718666666132,0.37481466666737,0.00655066666672765,0,0,0.0479159999997702
"V116",-23.9300000000001,19747.192430137,2443268.70379479,0.538666666666106,0.414666666667327,0.0106666666667467,0,0,0.0359999999998199
"V117",-23.9200000000001,19749.41948285,2443466.1868379,0.503734666666097,0.453798666667274,0.0162226666667667,0,0,0.0262439999998621
"V118",-23.9100000000001,19751.6662782578,2443663.69225026,0.466570666666101,0.491562666667214,0.0234346666667872,0,0,0.0184319999998973
"V119",-23.9000000000001,19753.9328163603,2443861.22022928,0.427822666666118,0.527310666667148,0.0325186666668074,0,0,0.0123479999999262
"V120",-23.8900000000001,19756.2190971576,2444058.77097239,0.388138666666146,0.560394666667078,0.0436906666668269,0,0,0.00777599999994931
"V121",-23.8800000000001,19758.5251206495,2444256.34467703,0.348166666666183,0.590166666667005,0.0571666666668449,0,0,0.00449999999996726
"V122",-23.8700000000001,19760.8508868363,2444453.94154061,0.308554666666227,0.615978666666931,0.073162666666861,0,0,0.00230399999998062
"V123",-23.8600000000001,19763.1963957177,2444651.56176057,0.269950666666276,0.637182666666859,0.0918946666668746,0,0,0.00097199999998998
"V124",-23.8500000000001,19765.5616472939,2444849.20553434,0.233002666666329,0.65313066666679,0.113578666666885,0,0,0.00028799999999594
"V125",-23.8400000000001,19767.9466415648,2445046.87305933,0.198358666666384,0.663174666666725,0.138430666666892,0,0,3.59999999990831e-05
"V126",-23.8300000000002,19770.3513785305,2445244.56453298,0.166666666666439,0.666666666666667,0.166666666666894,1.56789984301514e-38,0,0
"V127",-23.8200000000002,19772.7758581909,2445442.28015271,0.13843066666649,0.663174666666621,0.198358666666889,3.60000000007204e-05,0,0
"V128",-23.8100000000002,19775.220080546,2445640.02011595,0.113578666666533,0.653130666666591,0.233002666666873,0.000288000000002489,0,0
"V129",-23.8000000000002,19777.6840455959,2445837.78462013,0.0918946666665688,0.637182666666576,0.26995066666685,0.000972000000004716,0,0
"V130",-23.7900000000002,19780.1677533405,2446035.57386267,0.0731626666665983,0.615978666666573,0.308554666666821,0.00230400000000681,0,0
"V131",-23.7800000000002,19782.6712037798,2446233.388041,0.0571666666666221,0.590166666666582,0.348166666666788,0.00450000000000819,0,0
"V132",-23.7700000000002,19785.1943969139,2446431.22735255,0.0436906666666406,0.5603946666666,0.388138666666751,0.00777600000000825,0,0
"V133",-23.7600000000002,19787.7373327427,2446629.09199475,0.0325186666666544,0.527310666666625,0.427822666666714,0.0123480000000064,0,0
"V134",-23.7500000000002,19790.3000112662,2446826.98216502,0.0234346666666642,0.491562666666655,0.466570666666678,0.0184320000000021,0,0
"V135",-23.7400000000002,19792.8824324845,2447024.89806078,0.0162226666666705,0.45379866666669,0.503734666666645,0.0262439999999947,0,0
"V136",-23.7300000000002,19795.4845963975,2447222.83987948,0.0106666666666739,0.414666666666727,0.538666666666616,0.0359999999999836,0,0
"V137",-23.7200000000003,19798.1065030052,2447420.80781852,0.00655066666667507,0.374814666666764,0.570718666666593,0.0479159999999683,0,0
"V138",-23.7100000000003,19800.7481523077,2447618.80207534,0.00365866666667451,0.334890666666799,0.599242666666578,0.0622079999999482,0,0
"V139",-23.7,19803.409544305,2447816.82284738,0.00177466666663981,0.295542666665948,0.623590666667074,0.0790920000003375,0,0
"V140",-23.6900000000001,19806.0906789969,2448014.87033204,0.000682666666653161,0.257418666666011,0.643114666666964,0.0987840000003722,0,0
"V141",-23.6800000000001,19808.7915563836,2448212.94472677,0.000166666666661664,0.221166666666081,0.657166666666852,0.121500000000405,0,0
"V142",-23.6700000000001,19811.512176465,2448411.04622898,1.06666666659099e-05,0.187434666666158,0.66509866666674,0.147456000000436,0,0
"V143",-23.6600000000001,19814.2525392412,2448609.17503611,0,0.156865333332905,0.666270666666631,0.17686266666713,1.33333333351162e-06,0
"V144",-23.6500000000001,19817.0126447121,2448807.33134557,0,0.129781333332979,0.660522666666541,0.209610666667144,8.53333333360112e-05,0
"V145",-23.6400000000001,19819.7924928777,2449005.51535481,0,0.106009333333044,0.64843866666647,0.245094666667144,0.000457333333341,0
"V146",-23.6300000000001,19822.592083738,2449203.72726124,0,0.0853333333331005,0.630666666666419,0.282666666667132,0.00133333333334789,0
"V147",-23.6200000000001,19825.4114172931,2449401.96726229,0,0.067537333333149,0.607854666666385,0.32167866666711,0.00292933333335609,0
"V148",-23.6100000000001,19828.2504935429,2449600.23555539,0,0.0524053333331903,0.580650666666366,0.361482666667079,0.005461333333365,0
"V149",-23.6000000000001,19831.1093124875,2449798.53233797,0,0.0397213333332249,0.54970266666636,0.401430666667041,0.00914533333337406,0
"V150",-23.5900000000001,19833.9878741268,2449996.85780745,0,0.0292693333332535,0.515658666666366,0.440874666666997,0.0141973333333826,0
"V151",-23.5800000000002,19836.8861784608,2450195.21216126,0,0.0208333333332765,0.479166666666382,0.479166666666951,0.0208333333333902,0
"V152",-23.5700000000002,19839.8042254896,2450393.59559683,0,0.0141973333332946,0.440874666666407,0.515658666666903,0.0292693333333961,0
"V153",-23.5600000000002,19842.7420152131,2450592.00831158,0,0.00914533333330838,0.401430666666437,0.549702666666855,0.0397213333333998,0
"V154",-23.5500000000002,19845.6995476313,2450790.45050294,0,0.00546133333331843,0.361482666666473,0.580650666666808,0.0524053333334006,0
"V155",-23.5400000000002,19848.6768227443,2450988.92236834,0,0.00292933333332534,0.321678666666511,0.607854666666766,0.0675373333333981,0
"V156",-23.5300000000002,19851.673840552,2451187.42410521,0,0.0013333333333297,0.28266666666655,0.630666666666728,0.0853333333333916,0
"V157",-23.5200000000002,19854.6906010544,2451385.95591096,0,0.000457333333332085,0.245094666666589,0.648438666666699,0.10600933333338,0
"V158",-23.5100000000002,19857.7271042516,2451584.51798304,0,8.53333333331005e-05,0.209610666666625,0.660522666666678,0.129781333333364,0
"V159",-23.5000000000002,19860.7833501435,2451783.11051886,0,1.33333333332969e-06,0.176862666666657,0.666270666666667,0.156865333333342,0
"V160",-23.4900000000002,19863.8593387301,2451981.73371585,0,0,0.147456000000017,0.66509866666667,0.187434666666647,1.06666666666376e-05
"V161",-23.4800000000002,19866.9550700115,2452180.38777144,0,0,0.121500000000037,0.657166666666684,0.221166666666614,0.000166666666666212
"V162",-23.4700000000003,19870.0705439876,2452379.07288306,0,0,0.0987840000000513,0.643114666666708,0.257418666666576,0.000682666666664804
"V163",-23.4600000000003,19873.2057606585,2452577.78924813,0,0,0.0790920000000608,0.62359066666674,0.295542666666537,0.00177466666666183
"V164",-23.45,19876.3607200241,2452776.53706408,0,0,0.0622079999997123,0.599242666666176,0.334890666667402,0.00365866666671016
"V165",-23.4400000000001,19879.5354220844,2452975.31652834,0,0,0.0479159999997702,0.570718666666132,0.37481466666737,0.00655066666672765
"V166",-23.4300000000001,19882.7298668395,2453174.12783833,0,0,0.0359999999998199,0.538666666666106,0.414666666667327,0.0106666666667467
"V167",-23.4200000000001,19885.9440542893,2453372.97119149,0,0,0.0262439999998621,0.503734666666097,0.453798666667275,0.0162226666667667
"V168",-23.4100000000001,19889.1779844338,2453571.84678523,0,0,0.0184319999998973,0.466570666666101,0.491562666667214,0.0234346666667872
"V169",-23.4000000000001,19892.431657273,2453770.75481698,0,0,0.0123479999999262,0.427822666666118,0.527310666667148,0.0325186666668074
"V170",-23.3900000000001,19895.705072807,2453969.69548418,0,0,0.0077759999999493,0.388138666666146,0.560394666667078,0.0436906666668269
"V171",-23.3800000000001,19898.9982310357,2454168.66898425,0,0,0.00449999999996725,0.348166666666183,0.590166666667005,0.057166666666845
"V172",-23.3700000000001,19902.3111319592,2454367.67551461,0,0,0.00230399999998061,0.308554666666227,0.615978666666932,0.0731626666668611
"V173",-23.3600000000001,19905.6437755774,2454566.7152727,0,0,0.000971999999989978,0.269950666666276,0.637182666666859,0.0918946666668746
"V174",-23.3500000000001,19908.9961618903,2454765.78845593,0,0,0.000287999999995938,0.233002666666329,0.65313066666679,0.113578666666885
"V175",-23.3400000000001,19912.368290898,2454964.89526174,0,0,3.59999999990828e-05,0.198358666666384,0.663174666666725,0.138430666666892
"V176",-23.3300000000002,19915.7601626004,2455164.03588756,1.56962280972157e-38,0,0,0.166666666666439,0.666666666666667,0.166666666666894
"V177",-23.3200000000002,19919.1717769975,2455363.2105308,3.60000000007207e-05,0,0,0.13843066666649,0.663174666666621,0.198358666666889
"V178",-23.3100000000002,19922.6031340894,2455562.41938891,0.00028800000000249,0,0,0.113578666666533,0.653130666666591,0.233002666666874
"V179",-23.3000000000002,19926.054233876,2455761.66265929,0.000972000000004719,0,0,0.0918946666665687,0.637182666666576,0.269950666666851
"V180",-23.2900000000002,19929.5250763573,2455960.94053939,0.00230400000000682,0,0,0.0731626666665983,0.615978666666574,0.308554666666821
"V181",-23.2800000000002,19933.0156615334,2456160.25322663,0.0045000000000082,0,0,0.057166666666622,0.590166666666582,0.348166666666788
"V182",-23.2700000000002,19936.5259894042,2456359.60091843,0.00777600000000827,0,0,0.0436906666666405,0.5603946666666,0.388138666666752
"V183",-23.2600000000002,19940.0560599697,2456558.98381223,0.0123480000000064,0,0,0.0325186666666544,0.527310666666625,0.427822666666714
"V184",-23.2500000000002,19943.60587323,2456758.40210544,0.0184320000000021,0,0,0.0234346666666642,0.491562666666655,0.466570666666678
"V185",-23.2400000000002,19947.175429185,2456957.8559955,0.0262439999999947,0,0,0.0162226666666705,0.45379866666669,0.503734666666645
"V186",-23.2300000000002,19950.7647278348,2457157.34567983,0.0359999999999837,0,0,0.0106666666666739,0.414666666666727,0.538666666666616
"V187",-23.2200000000003,19954.3737691792,2457356.87135586,0.0479159999999684,0,0,0.00655066666667506,0.374814666666764,0.570718666666593
"V188",-23.2100000000003,19958.0025532184,2457556.43322102,0.0622079999999482,0,0,0.0036586666666745,0.334890666666799,0.599242666666578
"V189",-23.2,19961.6510799525,2457756.03147274,0.0790920000003376,0,0,0.00177466666663981,0.295542666665948,0.623590666667074
"V190",-23.1900000000001,19965.3193493812,2457955.66630844,0.0987840000003723,0,0,0.000682666666653157,0.257418666666011,0.643114666666964
"V191",-23.1800000000001,19969.0073615046,2458155.33792554,0.121500000000405,0,0,0.000166666666661662,0.221166666666081,0.657166666666852
"V192",-23.1700000000001,19972.7151163227,2458355.04652148,0.147456000000436,0,0,1.06666666659096e-05,0.187434666666158,0.66509866666674
"V193",-23.1600000000001,19976.4426138356,2458554.79229367,0.17686266666713,1.33333333351168e-06,0,0,0.156865333332905,0.666270666666631
"V194",-23.1500000000001,19980.1898540432,2458754.57543956,0.209610666667144,8.53333333360123e-05,0,0,0.129781333332979,0.660522666666541
"V195",-23.1400000000001,19983.9568369456,2458954.39615656,0.245094666667145,0.000457333333341003,0,0,0.106009333333044,0.64843866666647
"V196",-23.1300000000001,19987.7435625427,2459154.25464211,0.282666666667133,0.00133333333334789,0,0,0.0853333333331005,0.630666666666419
"V197",-23.1200000000001,19991.5500308345,2459354.15109362,0.32167866666711,0.0029293333333561,0,0,0.067537333333149,0.607854666666385
"V198",-23.1100000000001,19995.3762418211,2459554.08570853,0.361482666667079,0.00546133333336502,0,0,0.0524053333331903,0.580650666666366
"V199",-23.1000000000001,19999.2221955024,2459754.05868427,0.401430666667041,0.00914533333337408,0,0,0.0397213333332249,0.54970266666636
"V200",-23.0900000000001,20003.0878918784,2459954.07021825,0.440874666666998,0.0141973333333827,0,0,0.0292693333332535,0.515658666666366
"V201",-23.0800000000002,20006.9733309492,2460154.12050791,0.479166666666951,0.0208333333333902,0,0,0.0208333333332765,0.479166666666382
"V202",-23.0700000000002,20010.8785127147,2460354.20975068,0.515658666666903,0.0292693333333961,0,0,0.0141973333332946,0.440874666666406
"V203",-23.0600000000002,20014.8034371749,2460554.33814398,0.549702666666855,0.0397213333333998,0,0,0.00914533333330838,0.401430666666437
"V204",-23.0500000000002,20018.7481043299,2460754.50588523,0.580650666666808,0.0524053333334007,0,0,0.00546133333331843,0.361482666666472
"V205",-23.0400000000002,20022.7125141796,2460954.71317187,0.607854666666766,0.0675373333333982,0,0,0.00292933333332534,0.321678666666511
"V206",-23.0300000000002,20026.696666724,2461154.96020132,0.630666666666729,0.0853333333333917,0,0,0.00133333333332969,0.28266666666655
"V207",-23.0200000000002,20030.7005619632,2461355.24717102,0.648438666666699,0.106009333333381,0,0,0.000457333333332085,0.245094666666589
"V208",-23.0100000000002,20034.7241998971,2461555.57427837,0.660522666666678,0.129781333333364,0,0,8.53333333331005e-05,0.209610666666625
